id,first_name,second_name,value,penalties_order,rolling_saves_3,rolling_expected_goals_conceded_3,rolling_total_points_3,rolling_minutes_3,rolling_bps_3,rolling_saves_5,rolling_expected_goals_conceded_5,rolling_total_points_5,rolling_minutes_5,rolling_bps_5,rolling_saves_8,rolling_expected_goals_conceded_8,rolling_total_points_8,rolling_minutes_8,rolling_bps_8,rolling_saves_12,rolling_expected_goals_conceded_12,rolling_total_points_12,rolling_minutes_12,rolling_bps_12,avg_yellow_cards,avg_penalties_saved,pred_minutes,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
185,Robert,Sánchez,48,,1.0,0.7533333333333333,2.6666666666666665,60.0,9.333333333333334,1.6,1.046,2.6,72.0,9.0,2.5,1.2425000000000002,2.5,78.75,10.25,3.333333333333333,1.1766666666666667,4.083333333333333,82.5,15.333333333333334,0.2307692307692307,0.0769230769230769,90.0,4,6,1130,1120,1320,1190,CHE,BRE,16,1,24,1
185,Robert,Sánchez,48,,1.0,0.7533333333333333,2.6666666666666665,60.0,9.333333333333334,1.6,1.046,2.6,72.0,9.0,2.5,1.2425000000000002,2.5,78.75,10.25,3.333333333333333,1.1766666666666667,4.083333333333333,82.5,15.333333333333334,0.2307692307692307,0.0769230769230769,90.0,9,6,1130,1140,1320,1180,CHE,FUL,18,1,24,1
581,Filip,Jørgensen,42,,1.0,0.52,1.0,30.0,3.333333333333333,0.6,0.312,0.6,18.0,2.0,0.375,0.195,0.375,11.25,1.25,0.25,0.13,0.25,7.5,0.8333333333333334,0.0,0.0,90.0,4,6,1130,1120,1320,1190,CHE,BRE,16,1,24,1
581,Filip,Jørgensen,42,,1.0,0.52,1.0,30.0,3.333333333333333,0.6,0.312,0.6,18.0,2.0,0.375,0.195,0.375,11.25,1.25,0.25,0.13,0.25,7.5,0.8333333333333334,0.0,0.0,90.0,9,6,1130,1140,1320,1180,CHE,FUL,18,1,24,1
201,Dean,Henderson,44,,1.6666666666666667,1.2133333333333332,5.333333333333333,90.0,15.333333333333334,2.8,1.4,4.0,90.0,12.8,3.125,1.3425,4.25,90.0,14.375,3.333333333333333,1.4025,4.083333333333333,90.0,14.166666666666666,0.0714285714285714,0.0714285714285714,90.0,13,7,1100,1350,1090,1390,CRY,MCI,15,1,24,1
201,Dean,Henderson,44,,1.6666666666666667,1.2133333333333332,5.333333333333333,90.0,15.333333333333334,2.8,1.4,4.0,90.0,12.8,3.125,1.3425,4.25,90.0,14.375,3.333333333333333,1.4025,4.083333333333333,90.0,14.166666666666666,0.0714285714285714,0.0714285714285714,90.0,1,7,1100,1360,1090,1390,CRY,ARS,17,1,24,1
201,Dean,Henderson,44,,1.6666666666666667,1.2133333333333332,5.333333333333333,90.0,15.333333333333334,2.8,1.4,4.0,90.0,12.8,3.125,1.3425,4.25,90.0,14.375,3.333333333333333,1.4025,4.083333333333333,90.0,14.166666666666666,0.0714285714285714,0.0714285714285714,90.0,17,7,1100,1070,1090,1060,CRY,SOU,19,1,24,1
201,Dean,Henderson,44,,1.6666666666666667,1.2133333333333332,5.333333333333333,90.0,15.333333333333334,2.8,1.4,4.0,90.0,12.8,3.125,1.3425,4.25,90.0,14.375,3.333333333333333,1.4025,4.083333333333333,90.0,14.166666666666666,0.0714285714285714,0.0714285714285714,90.0,6,7,1100,1130,1090,1330,CRY,CHE,20,1,24,1
209,Remi,Matthews,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,7,1100,1350,1090,1390,CRY,MCI,15,1,24,1
209,Remi,Matthews,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1100,1360,1090,1390,CRY,ARS,17,1,24,1
