id,first_name,second_name,position,value,team_id,penalties_order,rolling_saves_3,rolling_expected_goals_conceded_3,rolling_total_points_3,rolling_minutes_3,rolling_bps_3,rolling_saves_5,rolling_expected_goals_conceded_5,rolling_total_points_5,rolling_minutes_5,rolling_bps_5,rolling_saves_8,rolling_expected_goals_conceded_8,rolling_total_points_8,rolling_minutes_8,rolling_bps_8,rolling_saves_12,rolling_expected_goals_conceded_12,rolling_total_points_12,rolling_minutes_12,rolling_bps_12,avg_yellow_cards,avg_penalties_saved,pred_minutes
465,Mateusz,Lis,GK,40,17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Joe,Lumley,GK,40,17,,3.3333333333333335,2.3699999999999997,1.6666666666666667,60.0,4.0,2.0,1.422,1.0,36.0,2.4,1.25,0.8887499999999999,0.625,22.5,1.5,0.8333333333333334,0.5924999999999999,0.4166666666666667,15.0,1.0,0.0,0.0,90.0
469,Alex,McCarthy,GK,43,17,,2.6666666666666665,1.05,1.0,30.0,3.0,1.6,0.63,0.6,18.0,1.8,1.0,0.39375,0.375,11.25,1.125,0.6666666666666666,0.2625,0.25,7.5,0.75,0.0,0.0,90.0
479,Brandon,Austin,GK,40,18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,Fraser,Forster,GK,43,18,,4.0,1.5633333333333332,2.3333333333333335,60.0,11.333333333333334,2.4,0.938,1.4,36.0,6.8,1.5,0.5862499999999999,0.875,22.5,4.25,1.0,0.3908333333333333,0.5833333333333334,15.0,2.8333333333333335,0.0,0.0,90.0
508,Guglielmo,Vicario,GK,49,18,,1.6666666666666667,0.7133333333333333,2.6666666666666665,30.0,11.333333333333334,1.4,1.1480000000000001,2.2,54.0,8.2,1.875,1.14625,2.125,67.5,9.875,2.1666666666666665,1.1025,2.4166666666666665,75.0,11.583333333333334,0.08333333333333333,0.0,90.0
510,Alfie,Whiteman,GK,40,18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,Alphonse,Areola,GK,43,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.32125,0.125,22.5,0.625,1.4166666666666667,0.6983333333333333,0.6666666666666666,41.25,2.25,0.0,0.0,0.0
521,Łukasz,Fabiański,GK,41,19,,2.3333333333333335,2.32,2.3333333333333335,90.0,4.333333333333333,2.8,2.0479999999999996,3.6,90.0,8.6,2.25,1.545,2.625,67.5,6.875,1.6666666666666667,1.1375,1.8333333333333333,48.75,4.916666666666667,0.14285714285714285,0.0,90.0
522,Wes,Foderingham,GK,43,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Sam,Johnstone,GK,43,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.53125,0.25,11.25,0.25,1.5833333333333333,0.8975,0.8333333333333334,37.5,2.5833333333333335,0.0,0.0,0.0
536,Daniel,Bentley,GK,40,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,José,Malheiro de Sá,GK,43,20,,2.6666666666666665,1.78,0.6666666666666666,90.0,-1.0,2.4,1.702,2.0,90.0,5.6,2.625,1.4300000000000002,1.75,78.75,5.875,1.75,0.9533333333333333,1.1666666666666667,52.5,3.9166666666666665,0.1111111111111111,0.0,90.0
556,Tom,King,GK,40,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
