Understat_ID,FPL_ID,Understat_Name,FPL_Name,Unique_ID
9912,54,Cameron Archer,Cameron Archer,27
9914,94,Shandon Baptiste,Shandon Baptiste,749
9915,98,Dominic Thompson,Dominic Thompson,752
9948,171,Michael Olise,Michael Olise,798
10004,321,Romeo Lavia,Roméo Lavia,174
10028,243,Leo Fuhr Hjelde,Leo Fuhr Hjelde,891
10036,119,Jeremy Sarmiento,Jeremy Sarmiento Morante,141
10126,317,James McAtee,James McAtee,357
10168,273,Lewis Brunt,Lewis Brunt,865
10291,194,Vitalii Mykolenko,Vitalii Mykolenko,231
10292,197,Nathan Patterson,Nathan Patterson,234
10293,489,Toti,Toti António Gomes,567
10327,490,Chiquinho,Francisco Jorge Tomás Oliveira,537
10405,83,Josh Dasilva,Josh Dasilva,90
10408,293,Luis Díaz,Luis Díaz,327
10552,569,Alejandro Garnacho,Alejandro Garnacho,372
10698,173,Malcolm Ebiowei,Malcolm Ebiowei,197
10715,220,João Palhinha,João Palhinha Gonçalves,845
10716,562,Manor Solomon,Manor Solomon,502
10720,297,Darwin Núñez,Darwin Núñez Ribeiro,316
10740,76,Jordan Zemura,Jordan Zemura,732
10741,535,Marcus Tavernier,Marcus Tavernier,83
10742,68,Ben Pearson,Ben Pearson,730
10743,62,Kieffer Moore,Kieffer Moore,726
10744,69,Ryan Christie,Ryan Christie,63
10750,244,Rasmus Kristensen,Rasmus Kristensen,892
10751,246,Brenden Aaronson,Brenden Aaronson,894
10756,388,Joe Worrall,Joe Worrall,448
10757,385,Scott McKenna,Scott McKenna,970
10758,523,Harry Toffolo,Harry Toffolo,444
10759,524,Lewis O'Brien,Lewis O'Brien,439
10760,394,Brennan Johnson,Brennan Johnson,491
10761,395,Alex Mighten,Alex Mighten,435
10765,422,Gavin Bazunu,Gavin Bazunu,454
10766,512,Joe Ayodele-Aribo,Joe Ayodele-Aribo,452
10802,533,Lisandro Martínez,Lisandro Martínez,380
10803,504,Tyrell Malacia,Tyrell Malacia,379
10804,123,Deniz Undav,Deniz Undav,143
10805,559,Levi Colwill,Levi Colwill,162
10809,515,Keane Lewis-Potter,Keane Lewis-Potter,98
10845,509,Flynn Downes,Flynn Downes,518
10846,319,Julián Álvarez,Julián Álvarez,352
631,538,Ashley Young,Ashley Young,238
10865,61,Jamal Lowe,Jamal Lowe,725
7823,65,Jack Stacey,Jack Stacey,728
10746,75,Jaidon Anthony,Jaidon Anthony,61
10864,576,Marcos Senesi,Marcos Senesi,79
10806,124,Kaoru Mitoma,Kaoru Mitoma,766
5136,586,Estupiñán,Pervis Estupiñán,122
8430,530,Chris Richards,Chris Richards,194
9667,577,Amadou Onana,Amadou Onana,233
10718,219,Jay Stansfield,Jay Stansfield,256
9552,521,Tyrese Francois,Tyrese Francois,847
983,532,Kevin Mbabu,Kevin Mbabu,250
1234,549,Dennis Praet,Dennis Praet,866
10866,508,Luis Sinisterra,Luis Sinisterra Lucumí,80
8228,501,Nathaniel Phillips,Nathaniel Phillips,332
10847,573,Rico Lewis,Rico Lewis,355
458,379,Steve Cook,Steve Cook,964
5646,383,Cafú,Carlos Ribeiro Dias,968
11003,387,Ryan Yates,Ryan Yates,449
532,583,Cheikhou Kouyaté,Cheikhou Kouyaté,983
9710,423,Armel Bella Kotchap,Armel Bella-Kotchap,456
8970,528,Sékou Mara,Sékou Mara,468
3278,575,Maxwel Cornet,Maxwel Cornet,515
2674,588,Thilo Kehrer,Thilo Kehrer,1047
900,491,Adama Traoré,Adama Traoré Diarra,239
5682,579,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,548
11000,589,Matheus Nunes,Matheus Luiz Nunes,356
11007,25,Fábio Vieira,Fábio Ferreira Vieira,1
11035,27,Marquinhos,Marcus Oliveira Alencar,701
11132,630,Ethan Nwaneri,Ethan Nwaneri,12
6083,525,Ludwig Augustinsson,Ludwig Augustinsson,716
10745,63,Emiliano Marcondes,Emiliano Marcondes,727
10749,74,Siriki Dembélé,Siriki Dembélé,731
561,505,Joe Rothwell,Joe Rothwell,733
1297,574,Neto,Norberto Murara Neto,73
11034,598,Owen Bevan,Owen Bevan,736
8859,580,Mikkel Damsgaard,Mikkel Damsgaard,89
6030,595,Zanka,Mathias Jorgensen,112
11058,125,Julio Enciso,Julio Enciso,121
10807,544,Jan Paul van Hecke,Jan Paul van Hecke,144
318,617,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,786
10216,661,Lewis Hall,Lewis Hall,399
694,176,Asmir Begovic,Asmir Begović,624
7438,570,James Garner,James Garner,223
668,611,Idrissa Gueye,Idrissa Gueye,222
11232,662,Thomas Cannon,Thomas Cannon,286
1677,203,Nathaniel Chalobah,Nathaniel Chalobah,836
5596,212,Harry Wilson,Harry Wilson,259
661,216,Josh Onomah,Josh Onomah,844
10719,546,Luke Harris,Luke Harris,246
3298,613,Layvin Kurzawa,Layvin Kurzawa,849
700,614,Willian,Willian Borges da Silva,850
7395,618,Carlos Vinicius,Carlos Vinícius Alves Morais,258
8646,612,Wout Faes,Wout Faes,291
9499,547,Cody Drameh,Cody Drameh,897
11155,619,Wilfried Gnonto,Wilfried Gnonto,899
11208,659,Mateo Joseph,Mateo Joseph Fernández,900
10723,564,Stefan Bajcetic,Stefan Bajcetic,312
10997,584,Bobby Clark,Bobby Clark,315
6656,587,Sergio Gómez,Sergio Gómez,925
6490,610,Manuel Akanji,Manuel Akanji,340
2248,593,Casemiro,Carlos Henrique Casimiro,368
11094,609,Antony,Antony Matheus dos Santos,365
9154,552,Elliot Anderson,Elliot Anderson,423
5232,594,Alexander Isak,Alexander Isak,401
7282,399,Giulian Biancone,Giulian Biancone,977
1488,582,Remo Freuler,Remo Freuler,982
9301,585,Emmanuel Dennis,Emmanuel Dennis,430
7891,602,Renan Lodi,Renan Augusto Lodi dos Santos,984
3600,628,Serge Aurier,Serge Aurier,986
11078,622,Juan Larios,Juan Larios López,464
7007,623,Duje Caleta-Car,Duje Caleta-Car,1010
10072,624,Samuel Edozie,Samuel Edozie,459
10764,522,Djed Spence,Djed Spence,504
7338,554,Bryan Gil Salvatierra,Bryan Gil Salvatierra,483
6935,472,Naif Aguerd,Nayef Aguerd,529
1245,545,Emerson,Emerson Palmieri dos Santos,520
7365,603,Lucas Paquetá,Lucas Tolentino Coelho de Lima,527
10140,558,Hugo Bueno,Hugo Bueno López,549
