id,first_name,second_name,value,pred_minutes,rolling_xg_5,season_mean_bonus,average_xg_per_game,cumulative_xg,cumulative_goals,rolling_xa_5,average_xa_per_game,cumulative_xa,cumulative_assists,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
70,Milos,Kerkez,44,87.5,0.014,0.2307692307692307,0.0176923076923076,0.2299999999999999,1,0.172,0.0908333333333333,1.1,2,18,3,1070,1170,1130,1350,BOU,TOT,14,1,24,2
70,Milos,Kerkez,44,87.5,0.014,0.2307692307692307,0.0176923076923076,0.2299999999999999,1,0.172,0.0908333333333333,1.1,2,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,2
70,Milos,Kerkez,44,87.5,0.014,0.2307692307692307,0.0176923076923076,0.2299999999999999,1,0.172,0.0908333333333333,1.1,2,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,2
72,Chris,Mepham,44,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,18,3,1070,1170,1130,1350,BOU,TOT,14,1,24,2
72,Chris,Mepham,44,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,2
72,Chris,Mepham,44,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,2
79,Marcos,Senesi,48,81.75,0.1379999999999999,0.2727272727272727,0.0736363636363636,0.8099999999999999,0,0.028,0.043,0.44,0,18,3,1070,1170,1130,1350,BOU,TOT,14,1,24,2
79,Marcos,Senesi,48,81.75,0.1379999999999999,0.2727272727272727,0.0736363636363636,0.8099999999999999,0,0.028,0.043,0.44,0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,2
79,Marcos,Senesi,48,81.75,0.1379999999999999,0.2727272727272727,0.0736363636363636,0.8099999999999999,0,0.028,0.043,0.44,0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,2
81,Adam,Smith,45,84.25,0.12,0.0,0.0666666666666666,0.6,0,0.006,0.00625,0.05,0,18,3,1070,1170,1130,1350,BOU,TOT,14,1,24,2
